long,lat,avg_load
-121.90178200000001,37.329732,0.43636470
-121.888979,37.330698,0.55993236
-121.894902,37.333988,0.53415001
-121.8932,37.331415,0.45005279
-121.894074,37.336721000000004,0.54144284
-121.88694299999999,37.333798,0.55031212
-121.88583100000001,37.330165,0.48261899
-121.89471499999999,37.348742,0.53400503
-121.886995,37.337391,0.45544050
-121.88566000000002,37.335885,0.50583453
-121.88389099999999,37.332808,0.57309608
-121.88993700000002,37.339301,0.46390674
-121.900084,37.332692,0.45979545
-121.877349,37.333954999999996,0.46116456
-122.226904,37.481758,0.43984109
-122.23208899999999,37.486078000000006,0.46114804
-122.229951,37.487615999999996,0.48501150
-122.227424,37.484219,0.49034265
-122.20328799999999,37.48537,0.46196144
-122.223492,37.487682,0.52992741
-122.081896,37.389218,0.53474077
-122.07671299999998,37.394358000000004,0.44028447
-122.10675800000001,37.406940000000006,0.45382409
-122.066553,37.390277000000005,0.48654520
-122.10833799999999,37.400443,0.52720395
-122.083678,37.385956,0.47503895
-122.099076,37.400240999999994,0.42450294
-122.164759,37.443988,0.41778659
-122.16309299999999,37.444521,0.56197082
-122.14280500000001,37.429082,0.54863083
-122.159504,37.448598,0.48668210
-122.13777749999998,37.425683899999996,0.52208280
-122.408433,37.783871000000005,0.50666782
-122.39997,37.795001,0.52503623
-122.398436,37.79728,0.47556428
-122.402923,37.794230999999996,0.51386007
-122.40476699999999,37.795425,0.46244015
-122.403452,37.788975,0.47034406
-122.398525,37.799953,0.55649688
-122.39063700000001,37.790302000000004,0.43572085
-122.394203,37.795392,0.38899959
-122.391034,37.791464000000005,0.56861140
-122.38801299999999,37.787152,0.35747720
-122.39464299999999,37.789756,0.35243131
-122.39708600000002,37.792251,0.38145996
-122.40512700000001,37.781752000000004,0.54166852
-122.41823500000001,37.77865,0.38591907
-122.418603,37.781332,0.32561225
-122.40323400000001,37.80477,0.54258311
-122.39028799999998,37.780526,0.49026206
-122.39623600000002,37.785299,0.33766403
-122.39810800000001,37.786978000000005,0.56209418
-122.392738,37.782259,0.54800470
-122.402717,37.771058000000004,0.56488850
-122.418954,37.774814,0.41813279
-122.41738500000001,37.776619000000004,0.38840006
-122.40101399999999,37.784878000000006,0.56622008
-122.39546999999999,37.7766,0.36414022
-122.39526000000001,37.776617,0.32336624
-122.408499,37.788446,0.38813654
-122.411748,37.781039,0.40572698
-122.40724499999999,37.798522,0.42668022
-122.394434,37.794139,0.44816146
-122.399051,37.7913,0.49883845
-122.40496599999999,37.786305,0.51087510
-122.400811,37.789625,0.53247392
-121.90573300000001,37.352601,0.47579552
-122.40086200000002,37.798541,0.48154704
-122.23623400000001,37.491269,0.42192297
-121.89561699999999,37.342725,0.40121787
