long,lat,avg_load
-121.90178200000001,37.329732,0.44077537
-121.888979,37.330698,0.56167361
-121.894902,37.333988,0.52537835
-121.8932,37.331415,0.45181101
-121.894074,37.336721000000004,0.54269952
-121.88694299999999,37.333798,0.55500358
-121.88583100000001,37.330165,0.49286841
-121.89471499999999,37.348742,0.52852663
-121.886995,37.337391,0.44082626
-121.88566000000002,37.335885,0.51744921
-121.88389099999999,37.332808,0.57627126
-121.88993700000002,37.339301,0.46786518
-121.900084,37.332692,0.46964502
-121.877349,37.333954999999996,0.46105732
-122.226904,37.481758,0.43770439
-122.23208899999999,37.486078000000006,0.46483733
-122.229951,37.487615999999996,0.48025803
-122.227424,37.484219,0.49395726
-122.20328799999999,37.48537,0.46134929
-122.223492,37.487682,0.50934593
-122.081896,37.389218,0.55456485
-122.07671299999998,37.394358000000004,0.42396189
-122.10675800000001,37.406940000000006,0.44495229
-122.066553,37.390277000000005,0.49230397
-122.10833799999999,37.400443,0.53237349
-122.083678,37.385956,0.48319829
-122.099076,37.400240999999994,0.42354267
-122.164759,37.443988,0.41736197
-122.16309299999999,37.444521,0.55925981
-122.14280500000001,37.429082,0.55006408
-122.159504,37.448598,0.48627104
-122.13777749999998,37.425683899999996,0.52204146
-122.408433,37.783871000000005,0.49231990
-122.39997,37.795001,0.50687291
-122.398436,37.79728,0.49874401
-122.402923,37.794230999999996,0.51432036
-122.40476699999999,37.795425,0.47440432
-122.403452,37.788975,0.46844321
-122.398525,37.799953,0.53889111
-122.39063700000001,37.790302000000004,0.43993338
-122.394203,37.795392,0.45562718
-122.391034,37.791464000000005,0.53688478
-122.38801299999999,37.787152,0.42147493
-122.39464299999999,37.789756,0.40664660
-122.39708600000002,37.792251,0.38814073
-122.40512700000001,37.781752000000004,0.52439673
-122.41823500000001,37.77865,0.38382551
-122.418603,37.781332,0.33175271
-122.40323400000001,37.80477,0.57553711
-122.39028799999998,37.780526,0.48908877
-122.39623600000002,37.785299,0.34867536
-122.39810800000001,37.786978000000005,0.56146592
-122.392738,37.782259,0.53002508
-122.402717,37.771058000000004,0.55748146
-122.418954,37.774814,0.40487998
-122.41738500000001,37.776619000000004,0.39635372
-122.40101399999999,37.784878000000006,0.55638660
-122.39546999999999,37.7766,0.37306496
-122.39526000000001,37.776617,0.36902753
-122.408499,37.788446,0.40836606
-122.411748,37.781039,0.39076394
-122.40724499999999,37.798522,0.44174252
-122.394434,37.794139,0.47561015
-122.399051,37.7913,0.46380984
-122.40496599999999,37.786305,0.50679499
-122.400811,37.789625,0.50110460
-121.90573300000001,37.352601,0.45406702
-122.40086200000002,37.798541,0.44839409
-122.23623400000001,37.491269,0.41935553
-121.89561699999999,37.342725,0.42215405
